instructor_id,instructor_name,expertise,experience_years
1,Instructor_1,Data Science,4
2,Instructor_2,Web Development,11
3,Instructor_3,Data Science,8
4,Instructor_4,Cyber Security,11
5,Instructor_5,Web Development,9
6,Instructor_6,Web Development,3
7,Instructor_7,Cloud,8
8,Instructor_8,Data Science,8
9,Instructor_9,Web Development,13
10,Instructor_10,Web Development,13
11,Instructor_11,Data Science,8
12,Instructor_12,Cyber Security,9
13,Instructor_13,Cyber Security,14
14,Instructor_14,Web Development,6
15,Instructor_15,Web Development,15
16,Instructor_16,Web Development,9
17,Instructor_17,Data Science,5
18,Instructor_18,Cloud,15
19,Instructor_19,AI,15
20,Instructor_20,Web Development,7
